minutes,maxDepth
00,10.811450
01,10.485733
02,10.691967
03,3.850517
04,4.192800
05,3.629867
06,3.365183
07,3.569067
08,3.121617
09,3.233367
10,2.971233
11,2.971817
12,2.880467
13,3.116767
14,3.100367
15,3.073433
16,3.043283
17,2.919767
18,3.029350
19,3.067650
20,3.071500
21,3.072083
22,2.983667
23,3.051783
24,3.037083
25,3.156450
26,3.199650
27,3.387883
28,3.477033
29,3.642533
30,3.949850
31,4.084217
32,4.104583
33,4.462967
34,4.970083
35,5.910967
36,7.396417
37,9.618650
38,11.093183
39,13.577483
40,13.677300
41,13.267483
42,13.482150
43,13.722067
44,14.333067
45,15.805550
46,15.613067
47,16.386683
48,16.085467
49,15.529800
50,15.669883
51,15.559250
52,15.170233
53,14.804667
54,15.203367
55,14.821767
56,15.046583
57,14.686667
58,14.819033
59,14.948467
60,14.846200
61,15.003350
62,14.844850
63,14.765717
64,15.187467
